,spr-itunes,"Shirt\ Pocket\ netTunes",0,N
,spl-itunes,"Shirt\ Pocket\ launchTunes",0,N
,tcpmux,"TCP\ Port\ Service\ Multiplexer",1,N
,tcpmux,"TCP\ Port\ Service\ Multiplexer",1,N
,compressnet,"Management\ Utility",2,N
,compressnet,"Management\ Utility",2,N
,compressnet,"Compression\ Process",3,N
,compressnet,"Compression\ Process",3,N
,rje,"Remote\ Job\ Entry",5,N
,rje,"Remote\ Job\ Entry",5,N
,echo,Echo,7,N
,echo,Echo,7,N
,discard,Discard,9,N
,discard,Discard,9,N
,systat,"Active\ Users",11,N
,systat,"Active\ Users",11,N
,daytime,"Daytime\ RFC\ 867",13,N
,daytime,"Daytime\ RFC\ 867",13,N
,qotd,"Quote\ of\ the\ Day",17,N
,qotd,"Quote\ of\ the\ Day",17,N
,msp,"Message\ Send\ Protocol",18,N
,msp,"Message\ Send\ Protocol",18,N
,chargen,"Character\ Generator",19,N
,chargen,"Character\ Generator",19,N
,ftp-data,"File\ Transfer\ Default\ Data",20,N
,ftp-data,"File\ Transfer\ Default\ Data",20,N
,ftp,"File\ Transfer\ Control",21,N
,ftp,"File\ Transfer\ Control",21,N
,ssh,"The\ Secure\ Shell\ SSH\ Protocol",22,N
,ssh,"The\ Secure\ Shell\ SSH\ Protocol",22,N
,telnet,Telnet,23,N
,telnet,Telnet,23,N
,smtp,"Simple\ Mail\ Transfer",25,N
,smtp,"Simple\ Mail\ Transfer",25,N
,nsw-fe,"NSW\ User\ System\ FE",27,N
,nsw-fe,"NSW\ User\ System\ FE",27,N
,msg-icp,"MSG\ ICP",29,N
,msg-icp,"MSG\ ICP",29,N
,msg-auth,"MSG\ Authentication",31,N
,msg-auth,"MSG\ Authentication",31,N
,dsp,"Display\ Support\ Protocol",33,N
,dsp,"Display\ Support\ Protocol",33,N
,time,Time,37,N
,time,Time,37,N
,rap,"Route\ Access\ Protocol",38,N
,rap,"Route\ Access\ Protocol",38,N
,rlp,"Resource\ Location\ Protocol",39,N
,rlp,"Resource\ Location\ Protocol",39,N
,graphics,Graphics,41,N
,graphics,Graphics,41,N
,name,"Host\ Name\ Server",42,N
,name,"Host\ Name\ Server",42,N
,nameserver,"Host\ Name\ Server",42,N
